,cadence,model
0,Monthly,Galaxy Z Fold3 5G
1,Monthly,Galaxy Z Flip3 5G
2,Monthly,Galaxy Z Fold4
3,Monthly,Galaxy Z Flip4
4,Monthly,Galaxy Z Fold5
5,Monthly,Galaxy Z Flip5
6,Monthly,Galaxy Z Fold6
7,Monthly,Galaxy Z Flip6
8,Monthly,W23
9,Monthly,W23 Flip
10,Monthly,W24
11,Monthly,W24 Flip
12,Monthly,W25
13,Monthly,W25 Flip
14,Monthly,Galaxy Z Fold Special Edition
15,Monthly,Galaxy S21 FE 5G
16,Monthly,Galaxy S22
17,Monthly,Galaxy S22+
18,Monthly,Galaxy S22 Ultra
19,Monthly,Galaxy S23
20,Monthly,Galaxy S23+
21,Monthly,Galaxy S23 Ultra
22,Monthly,Galaxy S23 FE
23,Monthly,Galaxy S24
24,Monthly,Galaxy S24+
25,Monthly,Galaxy S24 Ultra
26,Monthly,Galaxy S24 FE
27,Monthly,Galaxy S25
28,Monthly,Galaxy S25+
29,Monthly,Galaxy S25 Ultra
30,Monthly,Galaxy A53 5G
31,Monthly,Galaxy A54 5G
32,Monthly,Galaxy A55 5G
33,Monthly,Galaxy Xcover5
34,Monthly,Galaxy Xcover6 Pro
35,Monthly,Galaxy Xcover7
36,Quarterly,Galaxy S20
37,Quarterly,Galaxy S20 5G
38,Quarterly,Galaxy S20+
39,Quarterly,Galaxy S20+ 5G
40,Quarterly,Galaxy S20 Ultra 5G
41,Quarterly,Galaxy S20 FE
42,Quarterly,Galaxy S20 FE 5G
43,Quarterly,Galaxy S21 5G
44,Quarterly,Galaxy S21+ 5G
45,Quarterly,Galaxy S21 Ultra 5G
46,Quarterly,Galaxy Note20
47,Quarterly,Galaxy Note20 5G
48,Quarterly,Galaxy Note20 Ultra
49,Quarterly,Galaxy Note20 Ultra 5G
50,Quarterly,Galaxy A32
51,Quarterly,Galaxy A32 5G
52,Quarterly,Galaxy A13
53,Quarterly,Galaxy A13 5G
54,Quarterly,Galaxy A23
55,Quarterly,Galaxy A23 5G
56,Quarterly,Galaxy A33 5G
57,Quarterly,Galaxy A73 5G
58,Quarterly,Galaxy A04
59,Quarterly,Galaxy A04s
60,Quarterly,Galaxy A04e
61,Quarterly,Galaxy A14
62,Quarterly,Galaxy A14 5G
63,Quarterly,Galaxy A24
64,Quarterly,Galaxy A34 5G
65,Quarterly,Galaxy A05
66,Quarterly,Galaxy A05s
67,Quarterly,Galaxy A15
68,Quarterly,Galaxy A15 5G
69,Quarterly,Galaxy A25 5G
70,Quarterly,Galaxy A35 5G
71,Quarterly,Galaxy A06
72,Quarterly,Galaxy A16
73,Quarterly,Galaxy A16 5G
74,Quarterly,Galaxy C55 5G
75,Quarterly,Galaxy M13
76,Quarterly,Galaxy M13 5G
77,Quarterly,Galaxy M23 5G
78,Quarterly,Galaxy M33 5G
79,Quarterly,Galaxy M53 5G
80,Quarterly,Galaxy M04
81,Quarterly,Galaxy M14
82,Quarterly,Galaxy M14 5G
83,Quarterly,Galaxy M34 5G
84,Quarterly,Galaxy M44 5G
85,Quarterly,Galaxy M54 5G
86,Quarterly,Galaxy M05
87,Quarterly,Galaxy M15 5G
88,Quarterly,Galaxy M35 5G
89,Quarterly,Galaxy M55 5G
90,Quarterly,Galaxy M55s 5G
91,Quarterly,Galaxy F13
92,Quarterly,Galaxy F04
93,Quarterly,Galaxy F14
94,Quarterly,Galaxy F14 5G
95,Quarterly,Galaxy F34 5G
